Type,Manufacturer,Range,Panel Radiator Type,Column Style,Material,Height,Width,Sections / Elements,Cols,Manu. Part Number,Heat Output Watts (dT50),Heat Output Btu/hr (1),n coefficient Strategy,n coefficient
Panel,Stelrad,Stelrad Compact,11,,Steel,300,500,15,,143650,255,870,Default,1.3
Panel,Stelrad,Stelrad Compact,11,,Steel,300,1000,30,,143651,509,1737,Default,1.3
Panel,Stelrad,Stelrad Compact,11,,Steel,300,1500,45,,143652,764,2608,Default,1.3
Panel,Stelrad,Stelrad Compact,11,,Steel,300,2000,60,,143653,1018,3474,Default,1.3
Panel,Stelrad,Stelrad Compact,11,,Steel,300,2500,75,,143654,1273,4345,Default,1.3
Panel,Stelrad,Stelrad Compact,11,,Steel,300,3000,90,,143655,1527,5212,Default,1.3
Panel,Stelrad,Stelrad Compact,11,,Steel,450,400,12,,143680,302,1031,Default,1.3
Panel,Stelrad,Stelrad Compact,11,,Steel,450,500,15,,143681,378,1290,Default,1.3
Panel,Stelrad,Stelrad Compact,11,,Steel,450,600,18,,143682,454,1550,Default,1.3
Panel,Stelrad,Stelrad Compact,11,,Steel,450,700,21,,143683,529,1805,Default,1.3
Panel,Stelrad,Stelrad Compact,11,,Steel,450,800,24,,143684,605,2065,Default,1.3
Panel,Stelrad,Stelrad Compact,11,,Steel,450,900,27,,143685,680,2321,Default,1.3
Panel,Stelrad,Stelrad Compact,11,,Steel,450,1000,30,,143686,756,2580,Default,1.3
Panel,Stelrad,Stelrad Compact,11,,Steel,450,1100,33,,143687,832,2840,Default,1.3
Panel,Stelrad,Stelrad Compact,11,,Steel,450,1200,36,,143688,907,3096,Default,1.3
Panel,Stelrad,Stelrad Compact,11,,Steel,450,1400,42,,143689,1058,3611,Default,1.3
Panel,Stelrad,Stelrad Compact,11,,Steel,450,1600,48,,143690,1210,4130,Default,1.3
Panel,Stelrad,Stelrad Compact,11,,Steel,450,1800,54,,143691,1361,4645,Default,1.3
Panel,Stelrad,Stelrad Compact,11,,Steel,450,2000,60,,143692,1512,5160,Default,1.3
Panel,Stelrad,Stelrad Compact,11,,Steel,450,2200,66,,143693,1663,5676,Default,1.3
Panel,Stelrad,Stelrad Compact,11,,Steel,450,2400,72,,143694,1814,6191,Default,1.3
Panel,Stelrad,Stelrad Compact,11,,Steel,450,2600,78,,143695,1966,6710,Default,1.3
Panel,Stelrad,Stelrad Compact,11,,Steel,450,2800,84,,143696,2117,7225,Default,1.3
Panel,Stelrad,Stelrad Compact,11,,Steel,450,3000,90,,143697,2268,7741,Default,1.3
Panel,Stelrad,Stelrad Compact,11,,Steel,600,300,9,,143646,294,1003,Default,1.3
Panel,Stelrad,Stelrad Compact,11,,Steel,600,400,12,,143746,392,1338,Default,1.3
Panel,Stelrad,Stelrad Compact,11,,Steel,600,500,15,,143747,490,1672,Default,1.3
Panel,Stelrad,Stelrad Compact,11,,Steel,600,600,18,,143748,588,2007,Default,1.3
Panel,Stelrad,Stelrad Compact,11,,Steel,600,700,21,,143749,686,2341,Default,1.3
Panel,Stelrad,Stelrad Compact,11,,Steel,600,800,24,,143750,784,2676,Default,1.3
Panel,Stelrad,Stelrad Compact,11,,Steel,600,900,27,,143751,882,3010,Default,1.3
Panel,Stelrad,Stelrad Compact,11,,Steel,600,1000,30,,143752,980,3345,Default,1.3
Panel,Stelrad,Stelrad Compact,11,,Steel,600,1100,33,,143753,1078,3679,Default,1.3
Panel,Stelrad,Stelrad Compact,11,,Steel,600,1200,36,,143754,1176,4014,Default,1.3
Panel,Stelrad,Stelrad Compact,11,,Steel,600,1400,42,,143755,1372,4683,Default,1.3
Panel,Stelrad,Stelrad Compact,11,,Steel,600,1600,48,,143756,1568,5352,Default,1.3
Panel,Stelrad,Stelrad Compact,11,,Steel,600,1800,54,,143757,1764,6021,Default,1.3
Panel,Stelrad,Stelrad Compact,11,,Steel,600,2000,60,,143758,1960,6689,Default,1.3
Panel,Stelrad,Stelrad Compact,11,,Steel,600,2200,66,,143759,2156,7358,Default,1.3
Panel,Stelrad,Stelrad Compact,11,,Steel,600,2400,72,,143760,2352,8027,Default,1.3
Panel,Stelrad,Stelrad Compact,11,,Steel,600,2600,78,,143761,2548,8696,Default,1.3
Panel,Stelrad,Stelrad Compact,11,,Steel,600,2800,84,,143762,2744,9365,Default,1.3
Panel,Stelrad,Stelrad Compact,11,,Steel,600,3000,90,,143763,2940,10034,Default,1.3
Panel,Stelrad,Stelrad Compact,11,,Steel,700,300,9,,143648,335,1143,Default,1.3
Panel,Stelrad,Stelrad Compact,11,,Steel,700,400,12,,143812,447,1526,Default,1.3
Panel,Stelrad,Stelrad Compact,11,,Steel,700,500,15,,143813,559,1908,Default,1.3
Panel,Stelrad,Stelrad Compact,11,,Steel,700,600,18,,143814,670,2287,Default,1.3
Panel,Stelrad,Stelrad Compact,11,,Steel,700,700,21,,143815,782,2669,Default,1.3
Panel,Stelrad,Stelrad Compact,11,,Steel,700,800,24,,143816,894,3051,Default,1.3
Panel,Stelrad,Stelrad Compact,11,,Steel,700,900,27,,143817,1005,3430,Default,1.3
Panel,Stelrad,Stelrad Compact,11,,Steel,700,1000,30,,143818,1117,3812,Default,1.3
Panel,Stelrad,Stelrad Compact,11,,Steel,700,1100,33,,143819,1229,4195,Default,1.3
Panel,Stelrad,Stelrad Compact,11,,Steel,700,1200,36,,143820,1340,4573,Default,1.3
Panel,Stelrad,Stelrad Compact,11,,Steel,700,1400,42,,143821,1564,5338,Default,1.3
Panel,Stelrad,Stelrad Compact,11,,Steel,700,1600,48,,143822,1787,6099,Default,1.3
Panel,Stelrad,Stelrad Compact,11,,Steel,700,1800,54,,143823,2011,6864,Default,1.3
Panel,Stelrad,Stelrad Compact,11,,Steel,700,2000,60,,143824,2234,7625,Default,1.3
Panel,Stelrad,Stelrad Compact,11,,Steel,700,2200,66,,143825,2457,8386,Default,1.3
Panel,Stelrad,Stelrad Compact,11,,Steel,700,2400,72,,143826,2681,9150,Default,1.3
Panel,Stelrad,Stelrad Compact,11,,Steel,700,2600,78,,143827,2904,9911,Default,1.3
Panel,Stelrad,Stelrad Compact,11,,Steel,700,2800,84,,143828,3128,10676,Default,1.3
Panel,Stelrad,Stelrad Compact,11,,Steel,700,3000,90,,143829,3351,11437,Default,1.3
Panel,Stelrad,Stelrad Compact,21,,Steel,300,500,15,,143656,373,1273,P+ 300H,1.33
Panel,Stelrad,Stelrad Compact,21,,Steel,300,1000,30,,143657,745,2543,P+ 300H,1.33
Panel,Stelrad,Stelrad Compact,21,,Steel,300,1500,45,,143658,1118,3816,P+ 300H,1.33
Panel,Stelrad,Stelrad Compact,21,,Steel,300,2000,60,,143659,1490,5085,P+ 300H,1.33
Panel,Stelrad,Stelrad Compact,21,,Steel,300,2500,75,,143660,1863,6358,P+ 300H,1.33
Panel,Stelrad,Stelrad Compact,21,,Steel,300,3000,90,,143661,2235,7628,P+ 300H,1.33
Panel,Stelrad,Stelrad Compact,21,,Steel,450,400,12,,143698,422,1440,P+ 450H,1.33
Panel,Stelrad,Stelrad Compact,21,,Steel,450,500,15,,143699,528,1802,P+ 450H,1.33
Panel,Stelrad,Stelrad Compact,21,,Steel,450,600,18,,143700,633,2160,P+ 450H,1.33
Panel,Stelrad,Stelrad Compact,21,,Steel,450,700,21,,143701,739,2522,P+ 450H,1.33
Panel,Stelrad,Stelrad Compact,21,,Steel,450,800,24,,143702,844,2881,P+ 450H,1.33
Panel,Stelrad,Stelrad Compact,21,,Steel,450,900,27,,143703,950,3242,P+ 450H,1.33
Panel,Stelrad,Stelrad Compact,21,,Steel,450,1000,30,,143704,1055,3601,P+ 450H,1.33
Panel,Stelrad,Stelrad Compact,21,,Steel,450,1100,33,,143705,1161,3962,P+ 450H,1.33
Panel,Stelrad,Stelrad Compact,21,,Steel,450,1200,36,,143706,1266,4321,P+ 450H,1.33
Panel,Stelrad,Stelrad Compact,21,,Steel,450,1400,42,,143707,1477,5041,P+ 450H,1.33
Panel,Stelrad,Stelrad Compact,21,,Steel,450,1600,48,,143708,1688,5761,P+ 450H,1.33
Panel,Stelrad,Stelrad Compact,21,,Steel,450,1800,54,,143709,1899,6481,P+ 450H,1.33
Panel,Stelrad,Stelrad Compact,21,,Steel,450,2000,60,,143710,2110,7201,P+ 450H,1.33
Panel,Stelrad,Stelrad Compact,21,,Steel,450,2200,66,,143711,2321,7922,P+ 450H,1.33
Panel,Stelrad,Stelrad Compact,21,,Steel,450,2400,72,,143712,2532,8642,P+ 450H,1.33
Panel,Stelrad,Stelrad Compact,21,,Steel,450,2600,78,,143713,2743,9362,P+ 450H,1.33
Panel,Stelrad,Stelrad Compact,21,,Steel,450,2800,84,,143714,2954,10082,P+ 450H,1.33
Panel,Stelrad,Stelrad Compact,21,,Steel,450,3000,90,,143715,3165,10802,P+ 450H,1.33
Panel,Stelrad,Stelrad Compact,21,,Steel,600,400,12,,143764,538,1836,P+ 600H,1.33
Panel,Stelrad,Stelrad Compact,21,,Steel,600,500,15,,143765,673,2297,P+ 600H,1.33
Panel,Stelrad,Stelrad Compact,21,,Steel,600,600,18,,143766,807,2754,P+ 600H,1.33
Panel,Stelrad,Stelrad Compact,21,,Steel,600,700,21,,143767,942,3215,P+ 600H,1.33
Panel,Stelrad,Stelrad Compact,21,,Steel,600,800,24,,143768,1076,3672,P+ 600H,1.33
Panel,Stelrad,Stelrad Compact,21,,Steel,600,900,27,,143769,1211,4133,P+ 600H,1.33
Panel,Stelrad,Stelrad Compact,21,,Steel,600,1000,30,,143770,1345,4590,P+ 600H,1.33
Panel,Stelrad,Stelrad Compact,21,,Steel,600,1100,33,,143771,1480,5051,P+ 600H,1.33
Panel,Stelrad,Stelrad Compact,21,,Steel,600,1200,36,,143772,1614,5509,P+ 600H,1.33
Panel,Stelrad,Stelrad Compact,21,,Steel,600,1400,42,,143773,1883,6427,P+ 600H,1.33
Panel,Stelrad,Stelrad Compact,21,,Steel,600,1600,48,,143774,2152,7345,P+ 600H,1.33
Panel,Stelrad,Stelrad Compact,21,,Steel,600,1800,54,,143775,2421,8263,P+ 600H,1.33
Panel,Stelrad,Stelrad Compact,21,,Steel,600,2000,60,,143776,2690,9181,P+ 600H,1.33
Panel,Stelrad,Stelrad Compact,21,,Steel,600,2200,66,,143777,2959,10099,P+ 600H,1.33
Panel,Stelrad,Stelrad Compact,21,,Steel,600,2400,72,,143778,3228,11017,P+ 600H,1.33
Panel,Stelrad,Stelrad Compact,21,,Steel,600,2600,78,,143779,3497,11935,P+ 600H,1.33
Panel,Stelrad,Stelrad Compact,21,,Steel,600,2800,84,,143780,3766,12853,P+ 600H,1.33
Panel,Stelrad,Stelrad Compact,21,,Steel,600,3000,90,,143781,4035,13771,P+ 600H,1.33
Panel,Stelrad,Stelrad Compact,21,,Steel,700,400,12,,143830,612,2089,P+ 700H,1.34
Panel,Stelrad,Stelrad Compact,21,,Steel,700,500,15,,143831,765,2611,P+ 700H,1.34
Panel,Stelrad,Stelrad Compact,21,,Steel,700,600,18,,143832,918,3133,P+ 700H,1.34
Panel,Stelrad,Stelrad Compact,21,,Steel,700,700,21,,143833,1071,3655,P+ 700H,1.34
Panel,Stelrad,Stelrad Compact,21,,Steel,700,800,24,,143834,1224,4178,P+ 700H,1.34
Panel,Stelrad,Stelrad Compact,21,,Steel,700,900,27,,143835,1377,4700,P+ 700H,1.34
Panel,Stelrad,Stelrad Compact,21,,Steel,700,1000,30,,143836,1530,5222,P+ 700H,1.34
Panel,Stelrad,Stelrad Compact,21,,Steel,700,1100,33,,143837,1683,5744,P+ 700H,1.34
Panel,Stelrad,Stelrad Compact,21,,Steel,700,1200,36,,143838,1836,6266,P+ 700H,1.34
Panel,Stelrad,Stelrad Compact,21,,Steel,700,1400,42,,143839,2142,7311,P+ 700H,1.34
Panel,Stelrad,Stelrad Compact,21,,Steel,700,1600,48,,143840,2448,8355,P+ 700H,1.34
Panel,Stelrad,Stelrad Compact,21,,Steel,700,1800,54,,143841,2754,9399,P+ 700H,1.34
Panel,Stelrad,Stelrad Compact,21,,Steel,700,2000,60,,143842,3060,10444,P+ 700H,1.34
Panel,Stelrad,Stelrad Compact,21,,Steel,700,2200,66,,143843,3366,11488,P+ 700H,1.34
Panel,Stelrad,Stelrad Compact,21,,Steel,700,2400,72,,143844,3672,12533,P+ 700H,1.34
Panel,Stelrad,Stelrad Compact,21,,Steel,700,2600,78,,143845,3978,13577,P+ 700H,1.34
Panel,Stelrad,Stelrad Compact,21,,Steel,700,2800,84,,143846,4284,14621,P+ 700H,1.34
Panel,Stelrad,Stelrad Compact,21,,Steel,700,3000,90,,143847,4590,15666,P+ 700H,1.34
Panel,Stelrad,Stelrad Compact,22,,Steel,300,500,15,,143662,491,1676,K2 300H,1.33
Panel,Stelrad,Stelrad Compact,22,,Steel,300,1000,30,,143663,982,3352,K2 300H,1.33
Panel,Stelrad,Stelrad Compact,22,,Steel,300,1500,45,,143664,1473,5027,K2 300H,1.33
Panel,Stelrad,Stelrad Compact,22,,Steel,300,2000,60,,143665,1964,6703,K2 300H,1.33
Panel,Stelrad,Stelrad Compact,22,,Steel,300,2500,75,,143666,2455,8379,K2 300H,1.33
Panel,Stelrad,Stelrad Compact,22,,Steel,300,3000,90,,143667,2946,10055,K2 300H,1.33
Panel,Stelrad,Stelrad Compact,22,,Steel,450,400,12,,143716,548,1870,K2 450H,1.33
Panel,Stelrad,Stelrad Compact,22,,Steel,450,500,15,,143717,686,2341,K2 450H,1.33
Panel,Stelrad,Stelrad Compact,22,,Steel,450,600,18,,143718,823,2809,K2 450H,1.33
Panel,Stelrad,Stelrad Compact,22,,Steel,450,700,21,,143719,960,3276,K2 450H,1.33
Panel,Stelrad,Stelrad Compact,22,,Steel,450,800,24,,143720,1097,3744,K2 450H,1.33
Panel,Stelrad,Stelrad Compact,22,,Steel,450,900,27,,143721,1234,4212,K2 450H,1.33
Panel,Stelrad,Stelrad Compact,22,,Steel,450,1000,30,,143722,1371,4679,K2 450H,1.33
Panel,Stelrad,Stelrad Compact,22,,Steel,450,1100,33,,143723,1508,5147,K2 450H,1.33
Panel,Stelrad,Stelrad Compact,22,,Steel,450,1200,36,,143724,1645,5614,K2 450H,1.33
Panel,Stelrad,Stelrad Compact,22,,Steel,450,1400,42,,143725,1919,6550,K2 450H,1.33
Panel,Stelrad,Stelrad Compact,22,,Steel,450,1600,48,,143726,2194,7488,K2 450H,1.33
Panel,Stelrad,Stelrad Compact,22,,Steel,450,1800,54,,143727,2468,8423,K2 450H,1.33
Panel,Stelrad,Stelrad Compact,22,,Steel,450,2000,60,,143728,2742,9358,K2 450H,1.33
Panel,Stelrad,Stelrad Compact,22,,Steel,450,2200,66,,143729,3016,10294,K2 450H,1.33
Panel,Stelrad,Stelrad Compact,22,,Steel,450,2400,72,,143730,3290,11229,K2 450H,1.33
Panel,Stelrad,Stelrad Compact,22,,Steel,450,2600,78,,143731,3565,12167,K2 450H,1.33
Panel,Stelrad,Stelrad Compact,22,,Steel,450,2800,84,,143732,3839,13103,K2 450H,1.33
Panel,Stelrad,Stelrad Compact,22,,Steel,450,3000,90,,143733,4113,14038,K2 450H,1.33
Panel,Stelrad,Stelrad Compact,22,,Steel,600,300,9,,143647,520,1774,K2 600H,1.33
Panel,Stelrad,Stelrad Compact,22,,Steel,600,400,12,,143782,693,2365,K2 600H,1.33
Panel,Stelrad,Stelrad Compact,22,,Steel,600,500,15,,143783,866,2956,K2 600H,1.33
Panel,Stelrad,Stelrad Compact,22,,Steel,600,600,18,,143784,1039,3546,K2 600H,1.33
Panel,Stelrad,Stelrad Compact,22,,Steel,600,700,21,,143785,1212,4137,K2 600H,1.33
Panel,Stelrad,Stelrad Compact,22,,Steel,600,800,24,,143786,1386,4730,K2 600H,1.33
Panel,Stelrad,Stelrad Compact,22,,Steel,600,900,27,,143787,1559,5321,K2 600H,1.33
Panel,Stelrad,Stelrad Compact,22,,Steel,600,1000,30,,143788,1732,5911,K2 600H,1.33
Panel,Stelrad,Stelrad Compact,22,,Steel,600,1100,33,,143789,1905,6502,K2 600H,1.33
Panel,Stelrad,Stelrad Compact,22,,Steel,600,1200,36,,143790,2078,7092,K2 600H,1.33
Panel,Stelrad,Stelrad Compact,22,,Steel,600,1400,42,,143791,2425,8277,K2 600H,1.33
Panel,Stelrad,Stelrad Compact,22,,Steel,600,1600,48,,143792,2771,9457,K2 600H,1.33
Panel,Stelrad,Stelrad Compact,22,,Steel,600,1800,54,,143793,3118,10642,K2 600H,1.33
Panel,Stelrad,Stelrad Compact,22,,Steel,600,2000,60,,143794,3464,11823,K2 600H,1.33
Panel,Stelrad,Stelrad Compact,22,,Steel,600,2200,66,,143795,3810,13004,K2 600H,1.33
Panel,Stelrad,Stelrad Compact,22,,Steel,600,2400,72,,143796,4157,14188,K2 600H,1.33
Panel,Stelrad,Stelrad Compact,22,,Steel,600,2600,78,,143797,4503,15369,K2 600H,1.33
Panel,Stelrad,Stelrad Compact,22,,Steel,600,2800,84,,143798,4850,16553,K2 600H,1.33
Panel,Stelrad,Stelrad Compact,22,,Steel,600,3000,90,,143799,5196,17734,K2 600H,1.33
Panel,Stelrad,Stelrad Compact,22,,Steel,700,300,9,,143649,588,2006,K2 700H,1.34
Panel,Stelrad,Stelrad Compact,22,,Steel,700,400,12,,143848,784,2676,K2 700H,1.34
Panel,Stelrad,Stelrad Compact,22,,Steel,700,500,15,,143849,981,3348,K2 700H,1.34
Panel,Stelrad,Stelrad Compact,22,,Steel,700,600,18,,143850,1177,4017,K2 700H,1.34
Panel,Stelrad,Stelrad Compact,22,,Steel,700,700,21,,143851,1373,4686,K2 700H,1.34
Panel,Stelrad,Stelrad Compact,22,,Steel,700,800,24,,143852,1569,5355,K2 700H,1.34
Panel,Stelrad,Stelrad Compact,22,,Steel,700,900,27,,143853,1765,6024,K2 700H,1.34
Panel,Stelrad,Stelrad Compact,22,,Steel,700,1000,30,,143854,1961,6693,K2 700H,1.34
Panel,Stelrad,Stelrad Compact,22,,Steel,700,1100,33,,143855,2157,7362,K2 700H,1.34
Panel,Stelrad,Stelrad Compact,22,,Steel,700,1200,36,,143856,2353,8031,K2 700H,1.34
Panel,Stelrad,Stelrad Compact,22,,Steel,700,1400,42,,143857,2745,9369,K2 700H,
Panel,Stelrad,Stelrad Compact,22,,Steel,700,1600,48,,143858,3138,10710,K2 700H,
Panel,Stelrad,Stelrad Compact,22,,Steel,700,1800,54,,143859,3530,12048,K2 700H,
Panel,Stelrad,Stelrad Compact,22,,Steel,700,2000,60,,143860,3922,13386,K2 700H,
Panel,Stelrad,Stelrad Compact,22,,Steel,700,2200,66,,143861,4314,14724,K2 700H,
Panel,Stelrad,Stelrad Compact,22,,Steel,700,2400,72,,143862,4706,16062,K2 700H,
Panel,Stelrad,Stelrad Compact,22,,Steel,700,2600,78,,143863,5099,17403,K2 700H,
Panel,Stelrad,Stelrad Compact,22,,Steel,700,2800,84,,143864,5491,18741,K2 700H,
Panel,Stelrad,Stelrad Compact,22,,Steel,700,3000,90,,143865,5883,20079,K2 700H,
Panel,Stelrad,Stelrad Compact,11,,Steel,900,400,12,,3091104,544,1856,P+ 900H,
Panel,Stelrad,Stelrad Compact,11,,Steel,900,500,15,,3091105,680,2320,P+ 900H,
Panel,Stelrad,Stelrad Compact,11,,Steel,900,600,18,,3091106,816,2784,P+ 900H,
Panel,Stelrad,Stelrad Compact,11,,Steel,900,700,21,,3091107,952,3248,P+ 900H,
Panel,Stelrad,Stelrad Compact,11,,Steel,900,800,24,,3091108,1088,3712,P+ 900H,
Panel,Stelrad,Stelrad Compact,11,,Steel,900,900,27,,3091109,1224,4176,P+ 900H,
Panel,Stelrad,Stelrad Compact,11,,Steel,900,1000,30,,3091110,1360,4640,P+ 900H,
Panel,Stelrad,Stelrad Compact,22,,Steel,900,400,12,,3092204,958,3269,K2 900H,
Panel,Stelrad,Stelrad Compact,22,,Steel,900,500,15,,3092205,1198,4088,K2 900H,
Panel,Stelrad,Stelrad Compact,22,,Steel,900,600,18,,3092206,1437,4903,K2 900H,
Panel,Stelrad,Stelrad Compact,22,,Steel,900,700,21,,3092207,1677,5722,K2 900H,
Panel,Stelrad,Stelrad Compact,22,,Steel,900,800,24,,3092208,1916,6537,K2 900H,
Panel,Stelrad,Stelrad Compact,22,,Steel,900,900,27,,3092209,2156,7356,K2 900H,
Panel,Stelrad,Stelrad Compact,22,,Steel,900,1000,30,,3092210,2395,8172,K2 900H,
Panel,Stelrad,Stelrad Compact,33,,Steel,300,1000,30,,3033310,1349,4603,K3 300H,
Panel,Stelrad,Stelrad Compact,33,,Steel,300,2000,60,,3033320,2698,9206,K3 300H,
Panel,Stelrad,Stelrad Compact,33,,Steel,500,600,18,,3053306,1234,4210,K3 500H,
Panel,Stelrad,Stelrad Compact,33,,Steel,500,700,21,,3053307,1439,4910,K3 500H,
Panel,Stelrad,Stelrad Compact,33,,Steel,500,800,24,,3053308,1645,5613,K3 500H,
Panel,Stelrad,Stelrad Compact,33,,Steel,500,900,27,,3053309,1850,6312,K3 500H,
Panel,Stelrad,Stelrad Compact,33,,Steel,500,1000,30,,3053310,2056,7015,K3 500H,
Panel,Stelrad,Stelrad Compact,33,,Steel,500,1100,33,,3053311,2262,7718,K3 500H,
Panel,Stelrad,Stelrad Compact,33,,Steel,500,1200,36,,3053312,2467,8417,K3 500H,
Panel,Stelrad,Stelrad Compact,33,,Steel,500,1400,42,,3053314,2878,9820,K3 500H,
Panel,Stelrad,Stelrad Compact,33,,Steel,500,1600,48,,3053316,3290,11225,K3 500H,
Panel,Stelrad,Stelrad Compact,33,,Steel,500,1800,54,,3053318,3701,12628,K3 500H,
Panel,Stelrad,Stelrad Compact,33,,Steel,500,2000,60,,3053320,4112,14030,K3 500H,
Panel,Stelrad,Stelrad Compact,33,,Steel,500,2400,72,,3053324,4934,16835,K3 500H,
Panel,Stelrad,Stelrad Compact,33,,Steel,600,400,12,,3063304,956,3262,K3 600H,
Panel,Stelrad,Stelrad Compact,33,,Steel,600,500,15,,3063305,1195,4077,K3 600H,
Panel,Stelrad,Stelrad Compact,33,,Steel,600,600,18,,3063306,1433,4889,K3 600H,
Panel,Stelrad,Stelrad Compact,33,,Steel,600,700,21,,3063307,1672,5705,K3 600H,
Panel,Stelrad,Stelrad Compact,33,,Steel,600,800,24,,3063308,1911,6520,K3 600H,
Panel,Stelrad,Stelrad Compact,33,,Steel,600,900,27,,3063309,2150,7336,K3 600H,
Panel,Stelrad,Stelrad Compact,33,,Steel,600,1000,30,,3063310,2389,8151,K3 600H,
Panel,Stelrad,Stelrad Compact,33,,Steel,600,1100,33,,3063311,2628,8967,K3 600H,
Panel,Stelrad,Stelrad Compact,33,,Steel,600,1200,36,,3063312,2867,9782,K3 600H,
Panel,Stelrad,Stelrad Compact,33,,Steel,600,1400,42,,3063314,3345,11413,K3 600H,
Panel,Stelrad,Stelrad Compact,33,,Steel,600,1600,48,,3063316,3822,13041,K3 600H,
Panel,Stelrad,Stelrad Compact,33,,Steel,600,1800,54,,3063318,4300,14672,K3 600H,
Panel,Stelrad,Stelrad Compact,33,,Steel,600,2000,60,,3063320,4778,16303,K3 600H,
Panel,Stelrad,Stelrad Compact,33,,Steel,600,2400,72,,3063324,5734,19564,K3 600H,
Panel,Stelrad,Stelrad Compact,33,,Steel,700,500,15,,3073305,1356,4627,K3 700H,
Panel,Stelrad,Stelrad Compact,33,,Steel,700,600,18,,3073306,1627,5551,K3 700H,
Panel,Stelrad,Stelrad Compact,33,,Steel,700,700,21,,3073307,1898,6476,K3 700H,
Panel,Stelrad,Stelrad Compact,33,,Steel,700,800,24,,3073308,2170,7404,K3 700H,
Panel,Stelrad,Stelrad Compact,33,,Steel,700,900,27,,3073309,2441,8329,K3 700H,
Panel,Stelrad,Stelrad Compact,33,,Steel,700,1000,30,,3073310,2712,9253,K3 700H,
Panel,Stelrad,Stelrad Compact,33,,Steel,700,1100,33,,3073311,2983,10178,K3 700H,
Panel,Stelrad,Stelrad Compact,33,,Steel,700,1200,36,,3073312,3254,11103,K3 700H,
Panel,Stelrad,Stelrad Compact,33,,Steel,700,1400,42,,3073314,3797,12955,K3 700H,
Panel,Stelrad,Stelrad Compact,33,,Steel,700,1600,48,,3073316,4339,14805,K3 700H,
Panel,Stelrad,Stelrad Compact,33,,Steel,700,1800,54,,3073318,4882,16657,K3 700H,
Panel,Stelrad,Stelrad Compact,33,,Steel,700,2000,60,,3073320,5424,18507,K3 700H,
Panel,Stelrad,Stelrad Compact,22,,Steel,1600,300,9,,31182203,1089,3716,K2 900H,
Panel,Stelrad,Stelrad Compact,22,,Steel,1600,400,12,,31162204,1452,4954,K2 900H,
Panel,Stelrad,Stelrad Compact,22,,Steel,1600,500,15,,31162205,1815,6193,K2 900H,
Panel,Stelrad,Stelrad Compact,22,,Steel,1600,600,18,,31162206,2178,7432,K2 900H,
Panel,Stelrad,Stelrad Compact,22,,Steel,1800,300,9,,31182203,1188,4054,K2 900H,
Panel,Stelrad,Stelrad Compact,22,,Steel,1800,400,12,,31182204,1584,5405,K2 900H,
Panel,Stelrad,Stelrad Compact,22,,Steel,1800,500,15,,31182205,1980,6756,K2 900H,
Panel,Stelrad,Stelrad Compact,22,,Steel,1800,600,18,,31182206,2376,8107,K2 900H,
Panel,Stelrad,Stelrad Compact,22,,Steel,1800,700,21,,31182207,2772,9458,K2 900H,
Panel,Stelrad,Stelrad Compact,22,,Steel,2000,400,12,,31202204,1716,5855,K2 900H,
Panel,Stelrad,Stelrad Compact,22,,Steel,2000,500,15,,31202205,2145,7319,K2 900H,
Panel,Stelrad,Stelrad Compact,22,,Steel,2000,600,18,,31202206,2574,8782,K2 900H,
Panel,Stelrad,Stelrad Compact,22,,Steel,2000,700,21,,31202207,3003,10246,K2 900H,
Panel,Stelrad,Stelrad Compact,22,,Steel,2200,300,9,,31222203,1386,4729,K2 900H,
Panel,Stelrad,Stelrad Compact,22,,Steel,2200,400,12,,31222204,1848,6305,K2 900H,
Panel,Stelrad,Stelrad Compact,22,,Steel,2200,500,15,,31222205,2310,7882,K2 900H,
Panel,Stelrad,Stelrad Compact,22,,Steel,2200,600,18,,31222206,2772,9458,K2 900H,
Column,Stelrad,Stelrad Classic Column,,Simple Tube,Steel,300,444,9,3,163000,288,983,,
Column,Stelrad,Stelrad Classic Column,,Simple Tube,Steel,300,628,13,3,163001,416,1420,,
Column,Stelrad,Stelrad Classic Column,,Simple Tube,Steel,300,858,18,3,163002,576,1966,,
Column,Stelrad,Stelrad Classic Column,,Simple Tube,Steel,300,1042,22,3,163003,704,2403,,
Column,Stelrad,Stelrad Classic Column,,Simple Tube,Steel,300,1272,27,3,163004,864,2949,,
Column,Stelrad,Stelrad Classic Column,,Simple Tube,Steel,300,1456,31,3,163005,992,3386,,
Column,Stelrad,Stelrad Classic Column,,Simple Tube,Steel,300,1870,40,3,163006,1280,4369,,
Column,Stelrad,Stelrad Classic Column,,Simple Tube,Steel,300,444,9,4,163007,377,1287,,
Column,Stelrad,Stelrad Classic Column,,Simple Tube,Steel,300,628,13,4,163008,545,1860,,
Column,Stelrad,Stelrad Classic Column,,Simple Tube,Steel,300,858,18,4,163009,754,2573,,
Column,Stelrad,Stelrad Classic Column,,Simple Tube,Steel,300,1042,22,4,163010,922,3147,,
Column,Stelrad,Stelrad Classic Column,,Simple Tube,Steel,300,1272,27,4,163011,1131,3860,,
Column,Stelrad,Stelrad Classic Column,,Simple Tube,Steel,500,628,13,2,163012,499,1703,,
Column,Stelrad,Stelrad Classic Column,,Simple Tube,Steel,500,858,18,2,163013,691,2358,,
Column,Stelrad,Stelrad Classic Column,,Simple Tube,Steel,500,1042,22,2,163014,845,2884,,
Column,Stelrad,Stelrad Classic Column,,Simple Tube,Steel,500,1272,27,2,163015,1037,3539,,
